media,info_score
Mashable,0.30604731968305204
Vice,0.3054850662210568
Washington Post,0.3050916772139844
New Yorker,0.2997764666002465
Hyperallergic,0.2989463235702826
Refinery 29,0.297029330322825
TMZ,0.296553847085853
People,0.2913986713797454
Wired,0.2888279736669006
New Republic,0.28854246717209453
Economist,0.2879053852801853
The New York Times,0.2869029764351885
Gizmodo,0.2868193514613772
The Verge,0.2846013700729332
TechCrunch,0.2803970960211454
Reuters,0.27997330504612883
Fox News,0.27976733032300083
Buzzfeed News,0.2791942622592282
Vox,0.27888627510747
CNN,0.27442291650273304
Axios,0.27421842268079616
Business Insider,0.27237841188381734
CNBC,0.2677103885669172
Politico,0.2655812208635853
Vice News,0.25130433946186786
The Hill,0.2344368504661479
