media,info_score
Axios,0.38667942075938055
Business Insider,0.327598720169313
Buzzfeed News,0.3791779969398353
CNBC,0.38281803751659693
CNN,0.38496240000239906
Economist,0.3964104062560359
Fox News,0.38584739841589916
Gizmodo,0.3919192875809063
Hyperallergic,0.40119864611938316
Mashable,0.39018781218187065
New Republic,0.40189319454747413
New Yorker,0.3966671361392143
People,0.39787449845911843
Politico,0.3739645973061797
Refinery 29,0.4133856628906134
Reuters,0.3829936148948222
TechCrunch,0.3820992899970622
The Hill,0.34118988315536863
The New York Times,0.3976002316776416
The Verge,0.3520618961824254
TMZ,0.4125408720161931
Vice News,0.3100348257133144
Vice,0.40626946665222763
Vox,0.37365276319934115
Washington Post,0.39039435586307014
Wired,0.39574183033617855
